ux,uy,uz,p
0,0,0,-0.01013524
0,0,0,-0.01011558
0,0,0,-0.01009591
0,0,0,-0.01007534
0,0,0,-0.0100522
0,0,0,-0.01002408
0,0,0,-0.009987813
0,0,0,-0.009940012
0,0,0,-0.009878001
0,0,0,-0.009800451
0.005697657,-2.162057E-07,-0.0001410665,-0.01013532
0.005605881,-1.994217E-07,-0.0001105186,-0.01011565
0.0055186,-5.999173E-08,-8.286122E-05,-0.01009594
0.005450713,1.748347E-07,-6.347323E-05,-0.01007528
0.005409827,4.792815E-07,-5.671353E-05,-0.01005204
0.005395656,8.200906E-07,-6.538061E-05,-0.0100238
0.005403525,1.139749E-06,-8.988146E-05,-0.009987423
0.005428842,1.362896E-06,-0.0001275053,-0.009939547
0.005468703,1.425422E-06,-0.0001725764,-0.009877514
0.005519946,1.299845E-06,-0.0002176593,-0.009800008
0.01726459,-1.197509E-06,-0.0004202409,-0.01013552
0.01698774,-1.108212E-06,-0.0003280674,-0.01011583
0.01672394,-4.083711E-07,-0.000244459,-0.01009602
0.01651832,7.691591E-07,-0.0001852995,-0.01007521
0.01639407,2.293812E-06,-0.0001634973,-0.01005175
0.0163506,3.996254E-06,-0.0001872643,-0.01002328
0.01637402,5.589039E-06,-0.0002576847,-0.009986692
0.01645071,6.697877E-06,-0.0003666695,-0.009938668
0.01657207,7.003298E-06,-0.0004974396,-0.009876595
0.0167287,6.366513E-06,-0.0006280282,-0.009799177
0.02913532,-3.381262E-06,-0.0006990039,-0.01013575
0.02866974,-3.136762E-06,-0.0005443813,-0.01011605
0.02822471,-1.307914E-06,-0.0004038025,-0.01009615
0.02787638,1.767252E-06,-0.000303488,-0.01007517
0.02766422,5.74517E-06,-0.0002648123,-0.01005152
0.02758788,1.017775E-05,-0.0003013045,-0.01002282
0.02762474,1.431583E-05,-0.000414644,-0.009986023
0.02775251,1.718929E-05,-0.0005913929,-0.009937855
0.02795721,1.796829E-05,-0.0008038388,-0.009875746
0.0282232,1.628914E-05,-0.001015732,-0.009798419
0.0413233,-6.955711E-06,-0.0009776321,-0.01013604
0.04066515,-6.464566E-06,-0.0007600062,-0.01011632
0.04003331,-2.929513E-06,-0.0005615813,-0.01009632
0.03953569,3.011996E-06,-0.0004187252,-0.01007519
0.03922897,1.069258E-05,-0.0003611877,-0.01005133
0.0391139,1.92366E-05,-0.0004077433,-0.01002242
0.03915998,2.719792E-05,-0.0005606304,-0.009985419
0.03933699,3.271324E-05,-0.0008011376,-0.009937114
0.03962605,3.418663E-05,-0.001090838,-0.009874973
0.04000533,3.091537E-05,-0.001379511,-0.009797738
0.05384266,-1.206688E-05,-0.00125731,-0.01013637
0.05298793,-1.123026E-05,-0.0009763328,-0.01011663
0.05216281,-5.40746E-06,-0.0007192838,-0.01009654
0.05150777,4.375572E-06,-0.0005324748,-0.01007526
0.05109768,1.701577E-05,-0.0004539347,-0.0100512
0.05093567,3.105706E-05,-0.0005076349,-0.01002208
0.05098458,4.411903E-05,-0.0006963824,-0.009984883
0.05120741,5.314819E-05,-0.0009963202,-0.009936449
0.05158098,5.552772E-05,-0.001358573,-0.009874281
0.05207739,5.010353E-05,-0.001719321,-0.009797139
0.06670764,-1.881955E-05,-0.0015399,-0.01013676
0.06565222,-1.753197E-05,-0.00119537,-0.010117
0.06462654,-8.838741E-06,-0.0008789714,-0.01009681
0.06380431,5.761168E-06,-0.000646751,-0.01007537
0.06327989,2.46174E-05,-0.0005449185,-0.01005113
0.06306031,4.553864E-05,-0.0006026165,-0.0100218
0.06310348,6.497241E-05,-0.0008232788,-0.009984421
0.063367,7.837958E-05,-0.001178083,-0.009935864
0.06382434,8.186996E-05,-0.001608022,-0.009873671
0.06444159,7.372896E-05,-0.002036094,-0.009796626
0.07993246,-2.728014E-05,-0.00182779,-0.0101372
0.07867222,-2.542965E-05,-0.0014196,-0.01011741
0.07743784,-1.328433E-05,-0.00104314,-0.01009713
0.07643709,7.102833E-06,-0.0007639809,-0.01007554
0.07578519,3.34239E-05,-0.0006364185,-0.01005111
0.075495,6.259789E-05,-0.0006947675,-0.01002159
0.07552158,8.966386E-05,-0.0009431945,-0.009984035
